title,city,phone,website,reviews,rating,address
Explosive Fitness,"Mainmajra, Panchkula",+91 96463 88770,https://www.explosivefitness.in/,63,5,"Backside Entry, Nac Market, SCO 832, NAC Manimajra, Sector 13, Mainmajra, Panchkula, Chandigarh 160101, India"
The Quads Fitness Gym,Chandigarh,+91 75088 64945,https://thequadsfitness.com/,22,4.4,"Ist Floor, Chowk, 57 , 58 C, near by Shivalik Garden, Subhash Nagar, Sector 13, Chandigarh, 160101, India"
RK Fitness,Chandigarh,+91 98146 67274,https://rkfitnessgyms.vercel.app/,24,4.5,"New Timber Market, Plot no. 35, Timber Market, Sector 26, Chandigarh, 160019, India"
"Pro Ultimate Gyms - Sector 7-C, Chandigarh",Chandigarh,+91 86869 00043,https://www.proultimategyms.in/,422,4.9,"SCO 43, Floor, 1-2, Sector 7-C, Sector 7, Chandigarh, 160019, India"
Burn Gym,Chandigarh,+91 98787 79672,https://www.burngym.com/,1084,4.6,"1st & 2nd Floor, SCO 62, 65, Madhya Marg, Sector 8C, Chandigarh, 160009, India"
UR Fitness Personalised,Chandigarh,+91 98727 03007,https://urfitnesspersonalised.com/,36,4.9,"SCO 3-A Top floor, Madhya Marg, Sector 7-C, Sector 7, Chandigarh, 160019, India"
BodyZone Fitness & Spa,Chandigarh,+91 172 507 7770,https://www.bodyzonegym.in/,756,4.6,"S.C.O. 180-187, Second Floor, Madhya Marg, Sector 9 C, Chandigarh, 160009, India"
YoKalp (Pilates & Yoga Studio),Chandigarh,+91 96468 90700,https://yokalp.com/,202,5,"1st floor, SCO-2, Madhya Marg, near Nik Baker, Sector 7-C, Sector 7, Chandigarh, 160019, India"
Pro Yokalp,Chandigarh,+91 81464 00026,https://www.yokalp.com/,34,4.9,"2nd Floor, SCO: 4-5, Madhya Marg, 9D, Sector 9, Chandigarh, 160009, India"
Country Club,Chandigarh,+91 172 417 2046,https://www.countryclubindia.net/,107,3,"SCO No. 44 & 45 2nd Floor, Sector 9D, Madhya Marg, above Punjab National Bank, Chandigarh, 160009, India"
Yogastu Wellness,Chandigarh,+91 97292 09066,http://buildwithyogi.com/,21,5,"9D, Sector 9, Chandigarh, 160009, India"
Amaira Spa & Health Club - Hyatt Regency,Chandigarh,+91 172 440 1290,https://www.hyatt.com/en-US/hotel/india/hyatt-regency-chandigarh/ixchr/area-attractions?src=gplaces_amairaspa,22,4.2,"Hyatt Regency Chandigarh, First Floor, Chandigarh, 160002, India"
AVG Healthcare ( HEALTH VITALS PVT. LTD ),Chandigarh,+91 95011 06343,https://www.avghealthcare.com/,39,4.9,"Ist Floor, AVG Healthcare ( HEALTH VITALS PVT. LTD, SCO 866, NAC Rd, MM, Sector 13, Chandigarh, 160101, India"
The Reset Space,Chandigarh,+91 98771 13277,http://theresetspace.in/,6,5,"1081, Sector 8C, Sector 8, Chandigarh, 160009, India"
Yogoda Satsanga Dhyana Kendra - Chandigarh,Chandigarh,+91 94631 24539,https://chandigarh.ysskendra.org/,90,4.8,"Near, Gurjar Bhawan Rd, Sector 28 D, Sector 28, Chandigarh, 160002, India"
Aliine By Ageology,Chandigarh,+91 99151 76220,https://www.aliine.in/?utm_source=local&utm_medium=gbp&utm_campaign=aliine,2,5,"Second Floor, SCO - 24-25, Madhya Marg, 9D, Sector 9, Chandigarh, 160009, India"
Photon physio clinic,Chandigarh,+91 98177 97741,http://photonphysio.com/,3,5,"opposite main market, Modern Housing Complex, Sector 13, Chandigarh, 160101, India"
AnandSutra - Isha Hatha Yoga Chandigarh,Chandigarh,+91 96607 58485,https://anandsutra.org/,100,5,"668, 8B, Sector 8, Chandigarh, 160009, India"
Birth & Beyond,Chandigarh,+91 98148 07988,https://birthnbeyond.co.in/,88,5,"H.No. 149, Sector 28A, Sector 28, Chandigarh, 160002, India"
YogaFI,"Chandigarh, Sukteri",,http://www.yogafi.org/,,,"Right Global Info Solutions, Right Global Info Solutions, Plot no. 16, Rajiv Gandhi Technology Park, Phase - I, Sector 13, Chandigarh, 160101, India"
"Lemon Tree Hotel, Chandigarh",Chandigarh,+91 172 442 3232,http://www.lemontreehotels.com/lemon-tree-hotel/chandigarh/hotel-chandigarh?utm_source=Google&utm_medium=GMB,4129,3.9,"Plot No. 3, MW, Industrial Area Phase I, Chandigarh, 160002, India"
Royal fitness club | Best gym in chandigarh,Chandigarh,,https://vishal.beingmaker.com/,1,5,"Second Floor, 9D, Sector 9, Chandigarh, 160009, India"
IVT Oxy Health and Wellness Centre CGA Golf Range,Chandigarh,,https://ivtindia.com/,4,5,"CGA Golf Driving Range, Kishangarh, Chandigarh, 160001, India"
