page_name,page_id,start_date,ad_url,classification
Amazon India,,,,noise
Zomato,,,,noise
kaulifornia,,,,unknown
Plix,,,,inconclusive_d2c
Anish vaidya,,,,unknown
Probodyline,,,,inconclusive_d2c
PUMA,,,,noise
Kapiva Performance,,,,inconclusive_d2c
India's Best Series,,,,noise
HK Vitals,,,,unknown
gaurav_liftss,,,,unknown
Vanvasi Ayurveda,,,,unknown
Halo Fashionwear,,,,unknown
markallenmartinunitedstates,,,,noise
TikTok - EU,,,,unknown
FB Nutrition,,,,unknown
Social Media Growth,,,,unknown
Foot Locker India,,,,inconclusive_d2c
Healing's Advanced Plastic & Cosmetic Surgery,,,,unknown
Tata CLiQ Fashion,,,,noise
Sandip University,,,,unknown
Pintola,,,,unknown
Rare Slimming Oil,,,,unknown
World of Audiobooks,,,,noise
Chemist At Play,,,,unknown
Aryan Approves,,,,unknown
Super.money,,,,noise
Captain X Reel,,,,unknown
Flipkart,,,,noise
Sanyasi Ayurveda Delhi,,,,inconclusive_d2c
Burnlab,,,,unknown
Ajmal Perfumes India,,,,unknown
MCaffeine,,,,noise
shashanklala.official,,,,unknown
Millet House Malt మిల్లెట్ హౌస్ మాల్ట్,,,,unknown
Ruchi Realty - Active Acres,,,,real_gym
FX Hotel Pattaya,,,,unknown
Sealope,,,,unknown
Ruchi Realty - One Victoria,,,,unknown
anurag_sonkarr,,,,unknown
RSO Vanvasi,,,,unknown
ABC - Aditya Birla Health Insurance,,,,inconclusive_d2c
American Health Support Community,,,,unknown
BigMuscles Nutrition,,,,unknown
Chase,,,,noise
Leaf Studios,,,,noise
ZeroB Pure Water Solutions,,,,unknown
Perfectefyy Store,,,,unknown
Urban_Ethnics,,,,unknown
Cholesterol Relief Community,,,,unknown
Viva Fitness India,,,,inconclusive_d2c
Superhit Audio Series,,,,unknown
Superhit Series,,,,unknown
Nutrabay.com,,,,unknown
Mr. D H � R M E S H  (tiger) �,,,,unknown
ListenLit: Audiobook Collection,,,,noise
Ray Junior Courtemanche,,,,unknown
Setgraph,,,,unknown
The Gym Group,,,,real_gym
Google,,,,unknown
sonam_kdg,,,,unknown
Bacca Bucci,,,,unknown
Sports & Fitness D3,,,,real_gym
MyFitness,,,,possible_local_trainer
Unickshub,,,,unknown
Most Recommended Series,,,,noise
Yogabars,,,,real_gym
बेस्ट सीरीज़ टू वॉच,,,,unknown
H&M,,,,unknown
Ladder,,,,unknown
melissafromladder,,,,unknown
Dynamite - Wellversed Brand,,,,inconclusive_d2c
Zia and Sagor Carpets Trading  L.L.C,,,,unknown
Top Micro drama,,,,noise
Love Beauty & Planet IN,,,,unknown
Ritu Singh - Beauty Influencer,,,,unknown
The Wish Crate,,,,unknown
FitkingIndia,,,,possible_local_trainer
Powermax Fitness,,,,possible_local_trainer
Shivam Dube,,,,unknown
Moj,,,,unknown
Muscleblaze.Lifestyle,,,,inconclusive_d2c
dhairyazz._ds,,,,unknown
VGN Homes - Real Estate Developer,,,,unknown
YOGII by Astroyogi,,,,noise
Vasu Bindra,,,,unknown
Leeford Ortho,,,,inconclusive_d2c
Tiger Shroff,,,,unknown
Matrix Fitness India,,,,noise
Truww,,,,unknown
India's Best Drama,,,,noise
FitFeast - Healthy Nutrition,,,,possible_local_trainer
"Srijan Heights, Dobo",,,,unknown
shshshnkk,,,,unknown
Fitnessmaniac24,,,,possible_local_trainer
Anytime Fitness,,,,possible_local_trainer
Most Recommended Audio Series,,,,unknown
Tales On Audio,,,,unknown
ravina__.thakur23,,,,unknown
BullrocK Fitness,,,,possible_local_trainer
Vokka Perfumes,,,,unknown
Emma Mattress,,,,unknown
Slovic Fitness,,,,possible_local_trainer
fitwithaditi_,,,,possible_local_trainer
Housing.com,,,,unknown
The World,,,,unknown
Brij Group,,,,unknown
XYXX,,,,unknown
zidennn__9,,,,unknown
suprreveryday,,,,unknown
Sketra,,,,unknown
Neuherbs,,,,unknown
nazimul_official,,,,unknown
Infinium Developers,,,,unknown
Milton,,,,unknown
Disha : AI Health Coach,,,,possible_local_trainer
Moti City by Techman,,,,unknown
Magic Records,,,,unknown
LetsPhitku,,,,unknown
WOSPAC,,,,unknown
Wishlink,,,,unknown
Naturaltein India,,,,unknown
Monsoon.dey Connected Page,,,,unknown
Story TV Originals,,,,unknown
"FotoPro: AI Art, Image & Video",,,,unknown
Fitbod,,,,possible_local_trainer
Lyfta - Gym Workout Tracker,,,,real_gym
mentally_jacked,,,,unknown
Redskull nutrition,,,,unknown
Yash Vardhan Swami,,,,unknown
fitness_reality_01,,,,possible_local_trainer
GROW Athleisure,,,,unknown
Ubud Raya Resort Group,,,,unknown
Indian hulk Badal fitness,,,,possible_local_trainer
Nutrition Planet,,,,unknown
Sicsense,,,,unknown
Shivveda,,,,unknown
Sockscarving India,,,,unknown
fitabhii07,,,,possible_local_trainer
krishhh_vlogs,,,,unknown
Shaper Men,,,,inconclusive_d2c
fattofit.cb,,,,unknown
TFS Lakhimpur,,,,unknown
Republic Of Nature -RON,,,,unknown
Anvita Parkside,,,,unknown
Nivia Sports,,,,unknown
MB KoshaVeda,,,,unknown
Matiks Mental Arithmetic Private Limited,,,,unknown
Fuaark wear,,,,inconclusive_d2c
Siddharth Garewal Vlogs,,,,unknown
Bandu Eco Crest,,,,unknown
cult,,,,unknown
abhinvgoyal,,,,unknown
Ashiana Malhar,,,,unknown
Blue island clothing,,,,unknown
FRND App AA,,,,unknown
Tropical House,,,,unknown
24/7 Fitness Macau - Taipa,,,,possible_local_trainer
fitwithpratham,,,,possible_local_trainer
Sports & Fitness Ntacc2,,,,real_gym
Boxers Trend,,,,unknown
Hindi Hit Drama Stories-F,,,,noise
Duros,,,,unknown
Club Babylon,,,,unknown
