title,city,phone,website,reviews,rating,audit_status,audit_error,audit_body_len,audit_fbq_pixel,audit_gtag,audit_analytics_js,audit_schema_org,audit_local_business_schema,audit_lead_form,audit_whatsapp,audit_view_port_meta,score,reasons
ULTIMATE FITNESS,Sahibzada Ajit Singh Nagar,+91 98887 45521,https://www.ultimatefitness.in/,1470,4.8,200,,114,False,False,False,False,False,False,False,False,11,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | high_demand_1470(+2)
Elite Edge Gym and Spa,Chandigarh,+91 99883 83434,https://eliteedgegyms.com/,302,4.5,200,,588,False,False,False,False,False,False,False,False,10,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | proven_302(+1)
Healing Hands Chiro & Wellness Clinic,Chandigarh,+91 83606 84694,https://www.healinghandschiroandwellnessclinic.com/,239,4.8,200,,114,False,False,False,False,False,False,False,False,10,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | proven_239(+1)
Shrug Life CF,Kansal,+91 98759 35778,https://www.shruglife.in/,109,4.7,200,,114,False,False,False,False,False,False,False,False,10,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | proven_109(+1)
Gym13 Sector 22,Chandigarh,+91 98572 90013,http://www.gym13.in/,222,4.6,200,,871,False,False,False,False,False,False,False,True,9,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | proven_222(+1)
YoKalp (Pilates & Yoga Studio),Chandigarh,+91 96468 90700,https://yokalp.com/,202,5,200,,1532,False,False,False,False,False,False,False,True,9,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | proven_202(+1)
YoKalp (Pilates & Yoga Studio),Sahibzada Ajit Singh Nagar,+91 6284 833 593,https://yokalp.com/sec-68-mohali/,196,4.8,200,,1532,False,False,False,False,False,False,False,True,9,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | proven_196(+1)
Yokalp Pilates & Yoga Studio,Panchkula,+91 85568 55658,http://www.yokalp.com/,163,4.9,200,,1532,False,False,False,False,False,False,False,True,9,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | proven_163(+1)
Infinity Lift,Zirakpur,+91 97799 33370,http://infinitylift01.netlify.app/,103,5,200,,2331,False,False,False,False,False,False,False,True,9,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3) | proven_103(+1)
YogAahar,Chandigarh,,https://yogaahar.com/,19,5,200,,522,False,False,False,False,False,False,False,False,9,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3)
