title,city,phone,website,reviews,rating,audit_status,audit_error,audit_body_len,audit_fbq_pixel,audit_gtag,audit_analytics_js,audit_schema_org,audit_local_business_schema,audit_lead_form,audit_whatsapp,audit_view_port_meta,score,reasons
Akhada Health and Fitness Club,Chandigarh,+91 92186 04441,http://www.akhadagym.com/,584,4.9,0,timeout,,,,,,,,,,8,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | high_demand_584(+2)
Pro Yokalp,Chandigarh,+91 81464 00026,https://www.yokalp.com/,34,4.9,200,,1532,False,False,False,False,False,False,False,True,8,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3)
FnY Studio,Panchkula,+91 98882 15102,http://www.fnystudio.com/,32,4.7,200,,2857,False,False,False,False,False,False,True,True,8,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3)
Amshi Fitness,Chandigarh,+91 98767 25092,https://amshi.fit/,22,5,200,,2322,False,False,False,False,False,False,False,True,8,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3)
Krishna Global,Zirakpur,+91 90561 13356,https://globalkrishna.netlify.app/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnNnMgGGJS7NcDDBlIjhg3i5T5qcdvjU80Az6vDQlXsgQrAkAah_VeUt9-Yb0_aem_02xp5qs6-Ujg6XrU2GGuxQ#gym,1,1,200,,1926,False,False,False,False,False,False,False,True,8,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3)
Inferno - The Fitness Club,Panchkula,+91 99888 03580,http://infernothefitnessclub.com/,660,4.5,200,,5760,False,False,False,False,False,False,False,True,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_660(+2)
"LVL UP GYMS, MOHALI",Sahibzada Ajit Singh Nagar,+91 82830 49000,http://www.levelupgyms.info/,633,4.6,200,,52685,False,False,False,False,False,False,False,True,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_633(+2)
GYMaholic,Sahibzada Ajit Singh Nagar,+91 89687 15063,https://www.gymaholic71.com/,379,4.8,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_379(+1)
Claps Fitness,Sahibzada Ajit Singh Nagar,+91 82740 02121,http://www.clapsfitness.in/,349,4.1,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_349(+1)
Fitjaws Gym & Fitness Club,Zirakpur,+91 95016 54316,http://www.fitjaws.com/,257,4.9,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_257(+1)
Shape n Aesthetics - Skin | Laser | Fitness | Pilates | Physiotherapy| Academy Courses,"Zirakpur, Fatehpur",+91 98881 94364,https://shapenaesthetics.com/,208,4.9,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_208(+1)
Blaze Gym & Spa Zirakpur,Zirakpur,+91 1762 530 160,http://thedevilangel.com/,202,4,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_202(+1)
Akash Dreamers Dance Studio,Zirakpur,+91 83600 03414,https://www.google.com/search?q=akash+dreamers+dance+studio+reviews&oq=akash&aqs=chrome.1.69i57j69i59l3j0i271.1458j0j7&client=ms-android-vivo&sourceid=chrome-mobile&ie=UTF-8,168,4.9,200,,91616,False,False,False,False,False,False,False,False,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_168(+1)
Svadhyo Yogshala,Chandigarh,+91 94167 25496,https://www.svadhyoyogshala.com/home,142,5,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_142(+1)
Gurbilas Health Club ( GYM ),Sahibzada Ajit Singh Nagar,+91 98156 24334,http://ghcnutritionchd.com/,133,4.5,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_133(+1)
Reflex Gym,Chandigarh,+91 86993 49645,https://reflexgym44.com/,117,4.6,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_117(+1)
AnandSutra - Isha Hatha Yoga Chandigarh,Chandigarh,+91 96607 58485,https://anandsutra.org/,100,5,0,timeout,,,,,,,,,,7,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | proven_100(+1)
Ekyana Wellness | Yoga | Pilates | Ayurveda,Panchkula,+91 80548 84455,https://www.ekyana.com/,15,5,200,,4589,False,False,False,False,False,True,False,True,7,NO_TRACKING(+2) | no_schema(+1) | no_local_schema(+1) | ⚠️ PARKED_DOMAIN(+3)
