title,city,phone,website,reviews,rating,audit_status,audit_error,audit_body_len,audit_fbq_pixel,audit_gtag,audit_analytics_js,audit_schema_org,audit_local_business_schema,audit_lead_form,audit_whatsapp,audit_view_port_meta,score,reasons
Wininches (Women Strength and Fitness Studio),Sahibzada Ajit Singh Nagar,+91 88375 58662,https://wininches.com/,70,5,0,timeout,,,,,,,,,,6.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | established_70(+0.5)
Elite24 Fitness Point,Sahibzada Ajit Singh Nagar,+91 96579 00006,https://elite24fitnesspoint.in/,69,4.1,0,timeout,,,,,,,,,,6.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | established_69(+0.5)
Explosive Fitness,"Mainmajra, Panchkula",+91 96463 88770,https://www.explosivefitness.in/,63,5,0,timeout,,,,,,,,,,6.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | established_63(+0.5)
Pro Phoenixz,Sahibzada Ajit Singh Nagar,+91 95015 96962,https://prophoenixz.com/,51,5,0,timeout,,,,,,,,,,6.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | established_51(+0.5)
The Mohali Club,Sahibzada Ajit Singh Nagar,+91 98759 44401,http://www.mohaliclub.net/,3669,4.5,200,,49481,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_3669(+2)
Pro Ultimate Gyms,Panchkula,+91 93392 00014,https://proultimategyms.in/,1655,4.9,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_1655(+2)
Pro Ultimate Gyms Sector 91 Mohali,Sahibzada Ajit Singh Nagar,+91 94073 00076,https://proultimategyms.in/,1412,4.9,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_1412(+2)
Pro Ultimate Gyms - Sec 46 Chandigarh,Chandigarh,+91 93567 04646,http://www.proultimategyms.in/,1359,4.7,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_1359(+2)
Olympic physiotherapy and Fitness Centre Dr. Monica Singh Sports Injury Specialist,Panchkula,+91 95408 98777,https://drmonicasingh.netlify.app/,1191,5,200,,64410,False,False,False,True,False,False,True,True,6,NO_TRACKING(+2) | no_form(+1) | no_local_schema(+1) | high_demand_1191(+2)
Pro Ultimate Gyms - Dhakoli,Zirakpur,+91 73473 42388,https://proultimategyms.in/,1117,4.8,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_1117(+2)
Pro Ultimate Gyms - Aroma 22 Chandigarh,Chandigarh,+91 76964 83559,https://proultimategyms.in/,1086,4.8,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_1086(+2)
Pro Ultimate Gyms Patiala Highway Zirakpur,"Zirakpur, Nabha",+91 88372 00002,https://proultimategyms.in/,1010,4.8,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_1010(+2)
Gold's Gym Mohali,Sahibzada Ajit Singh Nagar,+91 97791 59099,http://goldsgym.in/our-gyms/gold-s-gym-phase-8,982,4.4,404,http_404,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | high_demand_982(+2) | site_down_404(-2)
Pro Ultimate Gyms,Chandigarh,+91 86428 00044,https://proultimategyms.in/sector-44-c-chandigarh/,975,4.9,404,http_404,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | high_demand_975(+2) | site_down_404(-2)
Pro Ultimate Gyms Sector 117 TDI Mohali,Sahibzada Ajit Singh Nagar,+91 74074 04800,https://proultimategyms.in/,965,4.8,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_965(+2)
PRO ULTIMATE GYMS PHASE 2,Sahibzada Ajit Singh Nagar,+91 94245 40009,https://proultimategyms.in/phase-2/,942,4.9,404,http_404,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | high_demand_942(+2) | site_down_404(-2)
Oxizone Fitness & Spa,Zirakpur,+91 76961 33777,https://oxizonefitness.com/zirakpur/,866,4.5,404,http_404,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | high_demand_866(+2) | site_down_404(-2)
Anytime Fitness,Chandigarh,+91 98514 00048,https://www.anytimefitness.com/en-in/locations/chandigarh-chandigarh-in-1058,844,4.3,200,,149943,False,False,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_844(+2)
Pro Ultimate Gyms Sector 71 Mohali,Sahibzada Ajit Singh Nagar,+91 62392 48526,https://proultimategyms.in/,789,4.8,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_789(+2)
Anytime Fitness,Chandigarh,+91 86993 99800,https://www.anytimefitness.com/en-in/locations/chandigarh-chandigarh-in-1107,732,4.6,200,,149976,False,False,True,False,False,False,True,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_732(+2)
"Pro Ultimate Gyms - Sector 32, Chandigarh",Chandigarh,+91 99272 00032,https://proultimategyms.in/,725,4.8,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_725(+2)
"Pro Ultimate Gyms - Sector 70, Mohali",Sahibzada Ajit Singh Nagar,+91 82888 06770,https://proultimategyms.in/best-gym-in-mohali-sector-70/,711,4.9,404,http_404,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | high_demand_711(+2) | site_down_404(-2)
Pro Ultimate Gyms - MDC Panchkula,Panchkula,+91 80074 00081,https://www.proultimategyms.in/,697,4.7,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_697(+2)
"Pro Ultimate Gyms - Sector 8, Panchkula",Panchkula,+91 97787 00008,https://www.proultimategyms.in/,673,4.9,200,,149997,False,True,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_673(+2)
Anytime Fitness,Panchkula,+91 77103 30326,https://www.anytimefitness.com/en-in/locations/panchkula-haryana-in-1123,520,4.7,200,,149976,False,False,True,False,False,False,False,True,6,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | high_demand_520(+2)
- Sec 22,Chandigarh,,http://ozigym.com/,371,4.2,200,,10609,False,False,False,False,False,False,False,True,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | proven_371(+1)
Club 72 Gym by Pro Ultimate,Sahibzada Ajit Singh Nagar,+91 83500 07272,https://www.club72gym.com/,366,4.9,200,,149978,False,False,False,False,False,False,False,True,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | proven_366(+1)
BURNin Fitness,Panchkula,+91 172 350 3180,http://www.burninfitness.com/,328,4.9,200,,19721,False,False,False,False,False,False,False,True,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | proven_328(+1)
