title,category,city,postal,state,address,phone,website,rating,reviews,claimed,categories,placeId,lat,lng,imagesCount,_reason
Explosive Fitness,Gym,"Mainmajra, Panchkula",160101,Chandigarh,"Backside Entry, Nac Market, SCO 832, NAC Manimajra, Sector 13, Mainmajra, Panchkula, Chandigarh 160101, India",+91 96463 88770,https://www.explosivefitness.in/,5,63,False,"['Gym', ""Children's club"", 'Adaptive sports center', 'Physical fitness program', 'Physical therapy clinic', 'Wellness center', 'Yoga studio']",ChIJDdTe7QmTDzkR-ftWNnbC-TU,30.7097972,76.8419889,41,primary_cat
Bajrang Fitness(GYM),Fitness center,Chandigarh,160101,Chandigarh,"near UCO bank, Pipliwala Town, Adarsh Nagar, Sector 13, Chandigarh, 160101, India",+91 84377 16275,,5,57,False,['Fitness center'],ChIJoX-wVIeTDzkRsK54-C6prL0,30.7200933,76.8329135,29,primary_cat
Perfect Bodies Gym & Fitness Centre,Gym,Chandigarh,160101,Chandigarh,"#1007, Tedi Gali, near kalighata jewellers morigate, Sector 13, Chandigarh, 160101, India",+91 97797 51210,,4.7,79,True,['Gym'],ChIJHZP3OzCTDzkRPJ5BOSf8ooM,30.7138845,76.8357266,6,primary_cat
Iconic Fitness NAC Chandigarh,Gym,Chandigarh,160101,Chandigarh,"SCO 817, NAC Rd, NAC Manimajra, SECTOR 13, Sector 13, Chandigarh, 160101, India",+91 75288 81888,,5,45,False,['Gym'],ChIJ5_QBNUqTDzkRKbmwxuSt6w0,30.710148,76.8426657,21,primary_cat
DAVIS FITNESS CLUB,Personal trainer,Chandigarh,160001,Chandigarh,"Sukhna Lake, CHANDIGARH GOLF CLUB, near Budha Chowk, Sector 6, Chandigarh, 160001, India",+91 97804 93641,https://davisfitnessclub.wordpress.com/,5,61,False,"['Personal trainer', 'Fitness center', 'Gym', 'Obstetrician-gynecologist', 'Gynecologist', 'Physical fitness program', 'Weight loss service', ""Women's personal trainer""]",ChIJE_dewb_tDzkR9BfLRzU_fH0,30.7336713,76.8187557,2,primary_cat
Health and Fitness Club,Fitness center,Chandigarh,160101,Chandigarh,"Mani Majra Rd, Mariwala Town, Adarsh Nagar, Sector 13, Chandigarh, 160101, India",,,5,5,False,['Fitness center'],ChIJiUc-6vGTDzkRPXjAiDQFPh4,30.7197831,76.8297369,24,primary_cat
Gymaholic Wellness Studio,Fitness center,Chandigarh,160101,Chandigarh,"Mariwala Town, Shanti Nagar, Sector 13, Chandigarh, 160101, India",+91 99889 45428,,4.8,620,False,"['Fitness center', 'Aerobics instructor', 'Gym']",ChIJT4KpxC6TDzkRpxEs_hg0D_U,30.7187108,76.8338138,150,primary_cat
The Quads Fitness Gym,Fitness center,Chandigarh,160101,Chandigarh,"Ist Floor, Chowk, 57 , 58 C, near by Shivalik Garden, Subhash Nagar, Sector 13, Chandigarh, 160101, India",+91 75088 64945,https://thequadsfitness.com/,4.4,22,False,"['Fitness center', 'Gym']",ChIJzytdQHaTDzkRZzcPhJabRxc,30.7203645,76.8381967,23,primary_cat
T-ZONE GYM,Fitness center,Chandigarh,160101,Chandigarh,"Vill, near cga, Kishangarh, Chandigarh, 160101, India",,,4.8,30,False,['Fitness center'],ChIJbQaFAYDtDzkRjg8gP0S1gag,30.7340076,76.825328,22,primary_cat
Body Fitness Gym for Ladies and Gents,Gym,Panchkula,160101,Chandigarh,"PRCJ+2X2, Pipliwala Town, Adarsh Nagar, Sector 13, Panchkula, Chandigarh 160101, India",,,4.3,61,True,['Gym'],ChIJ74rEUSmTDzkR71M1wj0ehmk,30.7200182,76.8323976,2,primary_cat
Body Reshape Gym,Fitness center,"Kansal, Chandigarh",160103,Punjab,"Sukhna Enclave, to, Kansal Rd, behind Rock Garden, near Chandigarh Apartments, Kaimbwala, Kansal, Chandigarh, Punjab 160103, India",+91 76961 46832,,5,30,False,['Fitness center'],ChIJN-ZuR_7tDzkRwEYsY2Hmg_g,30.7555243,76.8130484,31,primary_cat
Overheat Athletes,Fitness center,Chandigarh,160001,Chandigarh,"Kartar Aasra Road, near Gur Sagar Gurudwara, Rock Garden of Chandigarh, Sector 1, Chandigarh, 160001, India",,https://www.instagram.com/overheatathletes?igsh=NzJ6ZTg3MXZ0OW8z&utm_source=qr,5,18,False,['Fitness center'],ChIJn5z-kHjtDzkRLovw0DOrPNc,30.7496358,76.8128927,22,primary_cat
Lake Club,Club,Chandigarh,160001,Chandigarh,"PRW5+CVV, Uttar Marg, Near Sukhna Lake, Sector 1, Chandigarh, 160001, India",+91 172 274 0624,,4.2,866,True,"['Club', 'Gym']",ChIJM-BhWkftDzkRjnRRlAJvngo,30.746122,76.8096686,1368,secondary_cat
Grewal fitness club,Gym,Chandigarh,160101,Chandigarh,"606, gate wali gali, Kishangarh, Chandigarh, 160101, India",+91 84273 80204,,5,1,False,['Gym'],ChIJg3YhyK3tDzkRrU4lPPXMHLc,30.7223269,76.8212084,14,primary_cat
RK Fitness,Gym,Chandigarh,160019,Chandigarh,"New Timber Market, Plot no. 35, Timber Market, Sector 26, Chandigarh, 160019, India",+91 98146 67274,https://rkfitnessgyms.vercel.app/,4.5,24,False,['Gym'],ChIJUWHLtAbtDzkRVUct9mddD7Q,30.7199856,76.8141206,23,primary_cat
Cult,Fitness center,Chandigarh,160018,Chandigarh,"Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160018, India",,,4.6,167,False,['Fitness center'],ChIJp1rc4vPtDzkRpUZOLx5HAu0,30.7391754,76.7927728,149,primary_cat
Octane Gym Sector 19,Fitness center,Chandigarh,160019,Chandigarh,"Sco 21 - 22, 19D, Sector 19, Chandigarh, 160019, India",+91 99159 86119,,4.8,538,False,"['Fitness center', 'Gym']",ChIJrd3zAPPtDzkR6FDIbm8h2t8,30.730012,76.7909707,54,primary_cat
Shiv - The Personal Fitness Trainer,Fitness center,Chandigarh,160018,Chandigarh,"Sector 18-C, Sector 18, Chandigarh, 160018, India",+91 99889 53079,,4.9,171,False,['Fitness center'],ChIJD3ca6ZXtDzkR1mvEqpqb98w,30.7316381,76.7892774,401,primary_cat
Black Pavo,Fitness center,Chandigarh,160008,Chandigarh,"First Floor, SCO 28-29, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160008, India",,,5,78,False,"['Fitness center', 'Aerobics instructor', 'Dance instructor', 'Dance school', 'Gym', 'Physical fitness program', 'Pilates studio', 'Weight loss service', 'Yoga studio']",ChIJ8fExPwTtDzkRIdHqBYnpUa4,30.7359221,76.7961374,32,primary_cat
F3 Fight For Fitness,Fitness center,Chandigarh,160030,Chandigarh,"Sco 75, Block B, CSIO Colony, Sector 30-C, Sector 30, Chandigarh, 160030, India",,,4.6,14,False,"['Fitness center', 'Spa and health club']",ChIJFUB-4iLtDzkR8IKgvrsCQhY,30.7149953,76.7877667,6,primary_cat
The Lift Well Club,Personal trainer,Chandigarh,160009,Chandigarh,"SCO 48, 9D, Sector 9, Chandigarh, 160009, India",+91 96543 46954,,5,74,False,['Personal trainer'],ChIJlye2YQjtDzkRy51_wEDHw_o,30.7446952,76.7887618,27,primary_cat
The Walk Gym Sector 7,Fitness center,Chandigarh,160019,Chandigarh,"Second Floor, SCO 20, Sector 7-C, Sector 7, Chandigarh, 160019, India",+91 73800 29915,,5,65,False,"['Fitness center', 'Gym']",ChIJmQC4DHDtDzkRADfIIExDqdA,30.7313948,76.7996538,24,primary_cat
"Pro Ultimate Gyms - Sector 7-C, Chandigarh",Gym,Chandigarh,160019,Chandigarh,"SCO 43, Floor, 1-2, Sector 7-C, Sector 7, Chandigarh, 160019, India",+91 86869 00043,https://www.proultimategyms.in/,4.9,422,False,['Gym'],ChIJr_IL_FvtDzkRdj9kw1s9OFY,30.7296144,76.8013364,85,primary_cat
Burn Gym,Gym,Chandigarh,160009,Chandigarh,"1st & 2nd Floor, SCO 62, 65, Madhya Marg, Sector 8C, Chandigarh, 160009, India",+91 98787 79672,https://www.burngym.com/,4.6,1084,False,['Gym'],ChIJBQFHNxLtDzkRkw-vp_pfZH8,30.7390923,76.7936931,213,primary_cat
